student_id,CGPA,skills_score,projects_count,internships_done,communication_score,aptitude_score,coding_test_score,resume_score,extracurricular,college_tier,hackathons_participated,certifications_count,linkedin_activity_score,github_score,soft_skills_score,interview_score,consistency_score,backlogs,placement_training,selected,Performance_Score,Category_Level
1,6.87,7,0,0,4,3,2,7,Yes,Tier 2,0,7,5,9,3,1,4,4,Yes,1,3.935,Low
2,9.75,4,4,2,3,3,6,1,Yes,Tier 2,3,2,8,8,3,9,8,5,Yes,1,5.875,Low
3,8.66,2,1,1,2,1,4,6,Yes,Tier 2,4,1,5,2,2,1,3,2,Yes,1,5.83,Low
4,7.99,5,4,2,8,8,10,8,No,Tier 2,1,5,5,9,2,7,10,1,Yes,1,5.995,Low
5,5.78,3,2,2,4,9,1,7,Yes,Tier 3,4,7,3,8,7,8,6,5,Yes,1,5.39,Low
6,5.78,9,5,1,2,5,1,5,No,Tier 3,2,9,4,8,3,7,4,4,No,0,5.89,Low
7,5.29,6,3,1,9,1,2,4,Yes,Tier 1,4,7,9,1,10,2,2,5,Yes,1,6.145,Low
8,9.33,1,2,0,8,1,4,2,Yes,Tier 3,2,5,9,2,3,6,1,2,No,0,8.665,Low
9,8.01,3,5,2,5,9,8,1,No,Tier 1,0,5,3,3,6,8,9,4,No,0,8.505,Low
10,8.54,4,0,1,8,1,3,1,No,Tier 1,4,5,5,8,2,8,4,4,Yes,1,9.27,Low
11,5.1,9,0,2,5,9,5,5,Yes,Tier 3,4,4,8,4,3,8,9,0,No,1,8.05,Low
12,9.85,6,4,1,7,3,3,9,No,Tier 1,4,3,5,1,8,9,7,3,Yes,1,10.925,Low
13,9.16,4,2,2,5,3,8,7,No,Tier 1,3,1,7,5,8,3,1,1,Yes,1,11.08,Low
14,6.06,1,0,0,5,4,4,2,Yes,Tier 2,0,4,10,6,10,2,10,3,No,0,10.03,Low
15,5.91,8,1,2,4,5,8,6,Yes,Tier 3,4,1,3,5,3,2,5,0,Yes,0,10.455,Low
16,5.92,2,1,1,5,6,8,10,Yes,Tier 2,1,8,2,2,6,3,6,3,Yes,0,10.96,Low
17,6.52,8,3,3,7,6,9,7,Yes,Tier 3,0,3,2,8,8,9,8,2,No,1,11.76,Low
18,7.62,6,4,0,3,10,2,8,Yes,Tier 1,4,0,9,4,6,5,6,0,No,1,12.81,Low
19,7.16,8,0,0,4,9,10,9,Yes,Tier 2,5,9,1,8,2,4,8,2,No,1,13.08,Low
